Date/Time,Environment:Outdoor Dry Bulb [C](TimeStep),ZN001:WALL001:WIN001:Surface Ext Solar Incident[W/m2](TimeStep),ZN001:WALL001:WIN001:Window Solar Absorbed:All Glass Layers [W](TimeStep),ZN001:WALL001:WIN001:Window Transmitted Solar [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Gain [W](TimeStep),ZN001:WALL001:WIN001:Window Heat Loss [W](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Storm Window On/Off Flag [](TimeStep),WEST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),WEST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),WEST ZONE:Zone/Sys Air Temperature [C](TimeStep),EAST ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),EAST ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),EAST ZONE:Zone/Sys Air Temperature [C](TimeStep),NORTH ZONE:Zone/Sys Sensible Heating Rate [W](TimeStep),NORTH ZONE:Zone/Sys Sensible Cooling Rate [W](TimeStep),NORTH ZONE:Zone/Sys Air Temperature [C](TimeStep) 
 01/21  23:00:00,-17.3,0.0,0.0,0.0,0.0,731.962590276951,3.21925564535866,-11.186226150203,1.,676.858992456813,0.0,15.0000000000002,2094.91015921295,0.0,15.,4038.38271997799,0.0,15.0000000000001 
 01/21  23:10:00,-17.3,0.0,0.0,0.0,0.0,729.945951362482,3.16506701130015,-11.2078562378574,1.,728.455446178875,0.0,15.0000000000001,2131.55122000033,0.0,15.0000000000006,4074.57333797575,0.0,15.0000000000005 
 01/21  23:20:00,-17.3,0.0,0.0,0.0,0.0,727.973356777343,3.11203483540601,-11.2290198312098,1.,778.580417589681,0.0,15.0000000000002,2167.50614816944,0.0,15.,4109.9183227903,0.0,15. 
 01/21  23:30:00,-17.3,0.0,0.0,0.0,0.0,726.042558578608,3.06010049333059,-11.2497405865885,1.,826.597207758695,0.0,15.,2202.78293590436,0.0,15.0000000000006,4144.44259506381,0.0,15.0000000000007 
 01/21  23:40:00,-17.3,0.0,0.0,0.0,0.0,724.150034005505,3.00917165678084,-11.2700553463081,1.,875.113935685777,0.0,15.0000000000002,2237.39025737831,0.0,15.,4178.17029355931,0.0,15.0000000000003 
 01/21  23:50:00,-17.3,0.0,0.0,0.0,0.0,722.299309208641,2.95934049473118,-11.2899289563487,1.,922.567279232783,0.0,15.,2271.33735445521,0.0,15.0000000000006,4211.12480414272,0.0,15.0000000000005 
 01/21  24:00:00,-17.3,0.0,0.0,0.0,0.0,720.487828943675,2.91054313290294,-11.3093859558056,1.,969.124109907433,0.0,15.0000000000002,2304.63393975586,0.0,15.0000000000007,4243.32878865144,0.0,15.0000000000001 
 07/21  00:10:00,22.619,0.0,0.0,0.0,0.0,410.273688132896,24.6778132236867,24.5415129018693,0.0,0.0,60.84087947783,30.,0.0,0.0,29.8166687486985,0.0,27.5475298356558,30. 
 07/21  00:20:00,22.512,0.0,0.0,0.0,0.0,412.758979828404,24.5983831431943,24.4612359813448,0.0,0.0,45.7539354718614,30.,0.0,0.0,29.7598463828541,0.0,7.19519226809643,30. 
 07/21  00:30:00,22.405,0.0,0.0,0.0,0.0,415.254927139507,24.5190544972738,24.3810711780538,0.0,0.0,28.4439425327546,30.,0.0,0.0,29.702945845648,0.0,0.0,29.983372452691 
 07/21  00:40:00,22.298,0.0,0.0,0.0,0.0,417.771294897836,24.4399282071139,24.3011061411003,0.0,0.0,11.627546556681,30.,0.0,0.0,29.6452515908475,0.0,0.0,29.9391277882645 
 07/21  00:50:00,22.191,0.0,0.0,0.0,0.0,420.30420296706,24.3609711715275,24.2213056284138,0.0,0.0,0.0,29.9912295611988,0.0,0.0,29.5862614034752,0.0,0.0,29.8737836874593 
 07/21  01:00:00,22.084,0.0,0.0,0.0,0.0,422.73458307867,24.2810551059608,24.1405722500808,0.0,0.0,0.0,29.9532640067363,0.0,0.0,29.5259349055016,0.0,0.0,29.7984374293182 
