Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Pumps:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),InteriorEquipment:Gas [J](RunPeriod),Heating:Gas [J](RunPeriod),Gas:Plant [J](RunPeriod),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/03  11:00:00,,,,,,,,,,,,,,,,,,,,41882095.7689084,41882095.7689084,17314305.2888673 
 01/03  12:00:00,,,,,,,,,,,,,,,,,,,,57452345.5151369,57452345.5151369,2865190.25553304 
 01/03  13:00:00,,,,,,,,,,,,,,,,,,,,59775310.8338079,59775310.8338079,1046389.17953606 
 01/03  14:00:00,,,,,,,,,,,,,,,,,,,,61340603.9451926,61340603.9451926,854386.38 
 01/03  15:00:00,,,,,,,,,,,,,,,,,,,,61879837.9558823,61879837.9558823,854386.38 
 01/03  16:00:00,,,,,,,,,,,,,,,,,,,,58090557.4945697,58090557.4945697,854386.38 
 01/03  17:00:00,,,,,,,,,,,,,,,,,,,,56975385.3887432,56975385.3887432,854386.38 
 01/03  18:00:00,,,,,,,,,,,,,,,,,,,,56975822.2545751,56975822.2545751,986182.828226406 
 01/03  19:00:00,,,,,,,,,,,,,,,,,,,,57000920.6661658,57000920.6661658,8647637.28324461 
 01/03  20:00:00,,,,,,,,,,,,,,,,,,,,57021172.5862158,57021172.5862158,15190729.3183046 
 01/03  21:00:00,,,,,,,,,,,,,,,,,,,,57038425.004861,57038425.004861,21156616.0096025 
 01/03  22:00:00,,,,,,,,,,,,,,,,,,,,57052543.6817665,57052543.6817665,26336546.6655732 
 01/03  23:00:00,,,,,,,,,,,,,,,,,,,,34971515.0731274,34971515.0731274,42654052.1850713 
 01/03  24:00:00,,,,,,,,,,,,,,,,,,,,1702447.2,1702447.2,189863.64 
